Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-11-16T00:00:59Z,"0002cc0100000ecc","365462a33bf93c6b0a15548f84000000000000000000ffffffffffffffffffff",2,3.78,,10,21.33,56.06,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:06:55Z,"0002cc0100000ecc","365462a49ff93c6b0a15508f23000000000000000000ffffffffffffffffffff",2,3.78,,10,21.31,55.91,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:12:51Z,"0002cc0100000ecc","365462a603f93c6b0a15508f2c000000000000000000ffffffffffffffffffff",2,3.78,,10,21.31,55.93,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:18:47Z,"0002cc0100000ecc","365462a767f93c6b0a15548eff000000000000000000ffffffffffffffffffffffff",2,3.78,,10,21.33,55.86,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:24:43Z,"0002cc0100000ecc","365462a8cbf93c6b0a15548ecf000000000000000000ffffffffffffffffffff",2,3.78,,10,21.33,55.79,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:30:39Z,"0002cc0100000ecc","365462aa2ff93c630a15548f06000000000000000000fffffffffffffffff574",2,3.77,,10,21.33,55.87,,0.00,,0,0,0,0,,,,-0.34,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:36:35Z,"0002cc0100000ecc","365462ab93f93c630a15668e8e000000000000000000e4987c507d37d7b9f45bffaf",2,3.77,,10,21.40,55.69,,0.00,,0,0,0,0,,,-0.96,-0.27,-0.03,0.65,0.54,-0.07
2024-11-16T00:42:32Z,"0002cc0100000ecc","365462acf8f93c6f0a155b8e5b000000000000000000ffddffb8ffffffffffffffff",2,3.78,,10,21.35,55.61,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-0.96,-0.98
2024-11-16T00:48:27Z,"0002cc0100000ecc","365462ae5bf93c6b0a155e8dbe000000000000000000ffffffffffffffffffff",2,3.78,,10,21.37,55.37,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:54:24Z,"0002cc0100000ecc","365462afc0f93c630a155e8df5000000000000000000ffffffffffffffffffffffff",2,3.77,,10,21.37,55.45,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T01:00:20Z,"0002cc0100000ecc","365462b124f93c6b0a155b8dbc000000000000000000ffffffffffffffffffffff4e",2,3.78,,10,21.35,55.37,,0.00,,0,0,0,0,,,-0.91,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T01:06:15Z,"0002cc0100000ecc","365462b287f93c630a15578e78392ed0000000000000fffffffffffffffffd78",2,3.77,,10,21.34,55.65,,0.02,,0,0,0,0,,,,-0.68,-1.00,-1.00,-1.00,-1.00
2024-11-16T01:12:12Z,"0002cc0100000ecc","365462b3ecf93c630a15628e7c000000000000000000f4a9fefaff03ffdeffda",2,3.77,,10,21.38,55.66,,0.00,,0,0,0,0,,,,-0.98,-0.98,-0.88,-0.87,-0.29
