Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-11-10T00:01:06Z,"0002cc0100000ecc","36545aba42f93dbf0a159c8977392ed0000000000000ffabfe76fd3bff33565e",2,3.86,,10,21.61,53.70,,0.02,,0,0,0,0,,,,0.02,-0.90,-0.65,-0.81,-0.96
2024-11-10T00:07:02Z,"0002cc0100000ecc","36545abba6f93db70a15a28b2e000000000000000000ffdf5c9dfedafc77fe3b",2,3.86,,10,21.63,54.37,,0.00,,0,0,0,0,,,,-0.78,-0.56,-0.86,0.04,-0.98
2024-11-10T00:12:58Z,"0002cc0100000ecc","36545abd0af93dbf0a15ad8b8a000000000000000000fffffffffc9ef434ffc1ffff",2,3.86,,10,21.68,54.51,,0.00,,0,0,0,0,,,-1.00,-0.97,-0.26,-0.58,-1.00,-1.00
2024-11-10T00:18:54Z,"0002cc0100000ecc","36545abe6ef93dbf0a15b18b340000000000000000005e12fca8fffffc84e5f5",2,3.86,,10,21.69,54.38,,0.00,,0,0,0,0,,,,-0.09,-0.56,-1.00,-0.58,0.05
2024-11-10T00:24:50Z,"0002cc0100000ecc","36545abfd2f93db70a15b98a88000000000000000000fd25fffffffffe31fd92",2,3.86,,10,21.72,54.11,,0.00,,0,0,0,0,,,,-0.70,-0.77,-1.00,-1.00,-0.64
2024-11-10T00:30:46Z,"0002cc0100000ecc","36545ac136f20205000015c18b2a000000000000000000ffffff28fca8f5cffe7efe62",2,,2.5.0.0,,21.75,54.36,,0.00,,0,0,0,0,,,-0.80,-0.81,-0.36,-0.58,-0.89,-1.00
2024-11-10T00:36:42Z,"0002cc0100000ecc","36545ac29af93db70a15c48b430000000000000000006ec57d16fc7a673ced18",2,3.86,,10,21.76,54.40,,0.00,,0,0,0,0,,,,-0.16,0.11,-0.56,0.64,0.21
2024-11-10T00:42:38Z,"0002cc0100000ecc","36545ac3fef93daa0a15c78a95000000000000000000ffffffff6f91fc69ffff",2,3.85,,10,21.78,54.13,,0.00,,0,0,0,0,,,,-1.00,-0.55,0.24,-1.00,-1.00
2024-11-10T00:48:34Z,"0002cc0100000ecc","36545ac562f93db70a15bc8953000000000000000000fffffcd4f5e1d7604f7a",2,3.86,,10,21.73,53.64,,0.00,,0,0,0,0,,,,0.01,-0.03,-0.37,-0.60,-1.00
2024-11-10T00:54:30Z,"0002cc0100000ecc","36545ac6c6f93db70a15b68ab6000000000000000000ffffffffffffffffffffff85",2,3.86,,10,21.71,54.18,,0.00,,0,0,0,0,,,-0.94,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T01:00:26Z,"0002cc0100000ecc","36545ac82af93db70a15b98c8c0000000000000000006637ffdaff35f70b7469",2,3.86,,10,21.72,54.90,,0.00,,0,0,0,0,,,,0.28,-0.44,-0.90,-0.98,0.10
2024-11-10T01:06:22Z,"0002cc0100000ecc","36545ac98ef93db70a15b98ab80000000000000000007d0f778d7496ffffffff",2,3.86,,10,21.72,54.19,,0.00,,0,0,0,0,,,,-1.00,-1.00,0.29,0.47,0.63
2024-11-10T01:12:19Z,"0002cc0100000ecc","36545acaf3f93dbf0a15ad89fc000000000000000000efabff40ff13ffffff16",2,3.86,,10,21.68,53.90,,0.00,,0,0,0,0,,,,-0.89,-1.00,-0.88,-0.91,-0.24
2024-11-10T01:18:15Z,"0002cc0100000ecc","36545acc57d93db70a15bc8ad1000000000000ff0d5d117673dcd07d62",2,3.86,,10,21.73,54.23,,,,0,0,0,0,,,,0.67,-0.04,0.40,0.04,-0.88
2024-11-10T01:24:11Z,"0002cc0100000ecc","36545acdbbf93daa0a15ad8a25000000000000000000fec6fffffffff594fd5de607",2,3.85,,10,21.68,53.96,,0.00,,0,0,0,0,,,-0.09,-0.67,-0.35,-1.00,-1.00,-0.85
2024-11-10T01:30:07Z,"0002cc0100000ecc","36545acf1ff93db70a15ad8986000000000000000000fc176f246c7fef497560",2,3.86,,10,21.68,53.72,,0.00,,0,0,0,0,,,,0.34,-0.23,0.14,0.22,-0.51
2024-11-10T01:36:03Z,"0002cc0100000ecc","36545ad083f93db70a15ad8956392ed0000000000000fc8afe37eee7fc4cffff",2,3.86,,10,21.68,53.65,,0.02,,0,0,0,0,,,,-1.00,-0.54,-0.22,-0.78,-0.57
2024-11-10T01:41:59Z,"0002cc0100000ecc","36545ad1e7f93db70a15aa8c4e000000000000000000fcfd6e7956acfe5ffffff67f",2,3.86,,10,21.66,54.81,,0.00,,0,0,0,0,,,-0.41,-1.00,-0.80,0.03,0.20,-0.62
2024-11-10T01:47:55Z,"0002cc0100000ecc","36545ad34bf93db70a15a78aa0000000000000000000fc7efedafffffff6ffff",2,3.86,,10,21.65,54.15,,0.00,,0,0,0,0,,,,-1.00,-0.99,-1.00,-0.86,-0.56
2024-11-10T01:53:51Z,"0002cc0100000ecc","36545ad4aff93db70a15aa8945000000000000000000fffffefafe47f77effff",2,3.86,,10,21.66,53.62,,0.00,,0,0,0,0,,,,-1.00,-0.47,-0.78,-0.87,-1.00
2024-11-10T01:59:48Z,"0002cc0100000ecc","36545ad614f93db70a15a78c3600000000000000000076cff76afd96ffffffff541a",2,3.86,,10,21.65,54.77,,0.00,,0,0,0,0,,,0.02,-1.00,-1.00,-0.70,-0.46,0.43
2024-11-10T02:05:43Z,"0002cc0100000ecc","36545ad777f93db70a15a78c96000000000000000000fdacf49bff91f627ef45",2,3.86,,10,21.65,54.92,,0.00,,0,0,0,0,,,,-0.23,-0.38,-0.95,-0.29,-0.71
2024-11-10T02:11:40Z,"0002cc0100000ecc","36545ad8dcf93daf0a15aa8c57421356000000000000e4277570fd71f429ffff4e4b",2,3.86,,10,21.66,54.82,,8.60,,0,0,0,0,,,0.01,-1.00,-0.26,-0.68,0.34,-0.06
2024-11-10T02:17:36Z,"0002cc0100000ecc","36545ada40f93db70a15aa8c8f4315fc00000000000077b37cd7feacffffffff",2,3.86,,10,21.66,54.91,,17.37,,0,0,0,0,,,,-1.00,-1.00,-0.83,0.61,0.48
2024-11-10T02:23:32Z,"0002cc0100000ecc","36545adba4f93daf0a15b18bc34310b2000000000000ed00ff9afcce74927cd4",2,3.86,,10,21.69,54.60,,17.04,,0,0,0,0,,,,0.60,0.29,-0.60,-0.95,-0.16
2024-11-10T02:29:28Z,"0002cc0100000ecc","36545add08f93daf0a15b1898f4317e4000000000000f7cbffffffffff4dff75",2,3.86,,10,21.69,53.73,,17.49,,0,0,0,0,,,,-0.93,-0.91,-1.00,-1.00,-0.49
2024-11-10T02:35:24Z,"0002cc0100000ecc","36545ade6cf93daf0a15c7898f431ed1000000000000ffffffa9ee676d445c51ec40",2,3.86,,10,21.78,53.73,,17.93,,0,0,0,0,,,-0.13,0.03,0.16,-0.20,-0.96,-1.00
2024-11-10T02:41:20Z,"0002cc0100000ecc","36545adfd0f93daf0a15cb8ae843219c000000000000e795ffffef607ee7f55e",2,3.86,,10,21.79,54.26,,18.10,,0,0,0,0,,,,-0.34,0.86,-0.23,-1.00,-0.12
2024-11-10T02:47:16Z,"0002cc0100000ecc","36545ae134f93daf0a15d98b3c433d52000000000000ff23ffffffffffc4ffff",2,3.86,,10,21.85,54.39,,19.83,,0,0,0,0,,,,-1.00,-0.97,-1.00,-1.00,-0.89
2024-11-10T02:53:12Z,"0002cc0100000ecc","36545ae298f93daf0a15d98b64434cce000000000000fffffffffffffef0ffff",2,3.86,,10,21.85,54.45,,20.80,,0,0,0,0,,,,-1.00,-0.87,-1.00,-1.00,-1.00
2024-11-10T02:59:08Z,"0002cc0100000ecc","36545ae3fcf93db70a15e888de434cfd000000000000ffffffffffffffffffff",2,3.86,,10,21.90,53.46,,20.81,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:05:04Z,"0002cc0100000ecc","36545ae560f93db70a15e8891d4352a2000000000000ffffffffffffffffffff",2,3.86,,10,21.90,53.56,,21.16,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:11:00Z,"0002cc0100000ecc","36545ae6c4f93daf0a15f2878b43524f000000000000ffffffffffffffffffff",2,3.86,,10,21.95,52.95,,21.14,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:16:57Z,"0002cc0100000ecc","36545ae829f93daf0a15fa874743524f000000000000ffffffffffffffffffffffff",2,3.86,,10,21.97,52.84,,21.14,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:22:52Z,"0002cc0100000ecc","36545ae98cf93daf0a15fd87684352b2000000000000ffffffffffffffffffff",2,3.86,,10,21.99,52.89,,21.17,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:28:48Z,"0002cc0100000ecc","36545aeaf0f93daf0a15fd87b043541f000000000000ffffffffffffffffffff",2,3.86,,10,21.99,53.00,,21.26,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:34:44Z,"0002cc0100000ecc","36545aec54f93daf0a160887c443558c000000000000ffffffffffffffffffffffff",2,3.86,,10,22.03,53.03,,21.35,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:40:40Z,"0002cc0100000ecc","36545aedb8f93daf0a161387984352c1000000000000ffffffffffffffffffff",2,3.86,,10,22.07,52.97,,21.17,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:46:36Z,"0002cc0100000ecc","36545aef1cf93daf0a161787b24355df000000000000ffffffffffffffffffff",2,3.86,,10,22.09,53.01,,21.37,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:52:32Z,"0002cc0100000ecc","36545af080f93daf0a161a87fb4352c1000000000000ffffffffffffffffffffffff",2,3.86,,10,22.10,53.12,,21.17,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T03:58:28Z,"0002cc0100000ecc","36545af1e4f93daf0a161a87eb435686000000000000ffffffffffffffffffff",2,3.86,,10,22.10,53.09,,21.41,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:04:24Z,"0002cc0100000ecc","36545af348f93daf0a1622882543574c000000000000ffffffffffffffffffff",2,3.86,,10,22.13,53.18,,21.46,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:10:20Z,"0002cc0100000ecc","36545af4acf93daf0a162d8812435482000000000000ffffffffffffffffffffffff",2,3.86,,10,22.17,53.15,,21.28,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:16:16Z,"0002cc0100000ecc","36545af610f93daf0a16288830435696000000000000ffffffffffffffffffff",2,3.86,,10,22.16,53.20,,21.41,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:22:12Z,"0002cc0100000ecc","36545af774f93daf0a163088634357a0000000000000ffffffffffffffffffff",2,3.86,,10,22.19,53.28,,21.48,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:28:08Z,"0002cc0100000ecc","36545af8d8f93daf0a16338873435539000000000000ffffffffffffffffffff",2,3.86,,10,22.20,53.30,,21.33,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:34:04Z,"0002cc0100000ecc","36545afa3cf202050000163388644357a0000000000000ffffffffffffffffffff",2,,2.5.0.0,,22.20,53.28,,21.48,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:40:00Z,"0002cc0100000ecc","36545afba0f93daf0a163788664357a0000000000000ffffffffffffffffffffffff",2,3.86,,10,22.21,53.28,,21.48,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:45:56Z,"0002cc0100000ecc","36545afd04f93da60a163e8809435539000000000000ffffffffffffffffffff",2,3.85,,10,22.24,53.14,,21.33,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:51:52Z,"0002cc0100000ecc","36545afe68f93daf0a163b87f1435856000000000000ffffffffffffffffffff",2,3.86,,10,22.23,53.10,,21.52,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T04:57:48Z,"0002cc0100000ecc","36545affccf93daf0a163b8729435539000000000000ffffffffffffffffffff",2,3.86,,10,22.23,52.80,,21.33,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T05:03:44Z,"0002cc0100000ecc","36545b0130f93daf0a163786ff435642000000000000ffffffffffffffffffff",2,3.86,,10,22.21,52.73,,21.39,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T05:09:40Z,"0002cc0100000ecc","36545b0294f93daf0a163b87384355df000000000000ffffffffffffffffffffffff",2,3.86,,10,22.23,52.82,,21.37,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T05:15:36Z,"0002cc0100000ecc","36545b03f8f93daf0a164286fb4357b0000000000000ffffffffffffffffffff",2,3.86,,10,22.25,52.73,,21.48,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T05:21:32Z,"0002cc0100000ecc","36545b055cf93d9e0a163e869243590d000000000000ffffffffffffffffffff",2,3.85,,10,22.24,52.57,,21.57,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T05:27:28Z,"0002cc0100000ecc","36545b06c0f93daa0a164a86b04358ba000000000000ffffffffffffffffffff",2,3.85,,10,22.29,52.61,,21.55,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T05:33:24Z,"0002cc0100000ecc","36545b0824f93daf0a1646866543591d000000000000ffffffffffffffffffff",2,3.86,,10,22.27,52.50,,21.57,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-10T05:39:20Z,"0002cc0100000ecc","36545b0988f93daf0a16468656435970000000000000ffffffffffffffffffff",2,3.86,,10,22.27,52.48,,21.59,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
