Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-11-13T00:01:00Z,"0002cc0100000ecc","36545eaebcf93d1f0a157f8756000000000000000000ffffffffffffffffffff",2,3.82,,10,21.49,52.87,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T00:06:56Z,"0002cc0100000ecc","36545eb020f93d170a157488f0000000000000000000ffffffffffffffffffffffff",2,3.82,,10,21.45,53.49,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T00:12:52Z,"0002cc0100000ecc","36545eb184f93d1f0a157b8b64000000000000000000ffffffffffffffffffff",2,3.82,,10,21.48,54.45,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T00:18:48Z,"0002cc0100000ecc","36545eb2e8f93d1f0a157b8ccb000000000000000000fffffffffffff707fff1",2,3.82,,10,21.48,55.00,,0.00,,0,0,0,0,,,,-0.99,-0.44,-1.00,-1.00,-1.00
2024-11-13T00:24:44Z,"0002cc0100000ecc","36545eb44cf93d230a15868d56392ed0000000000000fcf14da476f45e9f758b",2,3.82,,10,21.52,55.21,,0.02,,0,0,0,0,,,,0.35,0.05,0.43,0.01,-0.62
2024-11-13T00:30:41Z,"0002cc0100000ecc","36545eb5b1f93d230a15868cb9000000000000000000ffff75cf5df4fe97ffffffff",2,3.82,,10,21.52,54.97,,0.00,,0,0,0,0,,,-1.00,-1.00,-0.82,0.05,0.36,-1.00
2024-11-13T00:36:37Z,"0002cc0100000ecc","36545eb715f93d170a15828c5f392ed0000000000000fffffcc0f64576eb750b",2,3.82,,10,21.51,54.83,,0.02,,0,0,0,0,,,,0.32,0.43,-0.39,-0.59,-1.00
2024-11-13T00:42:33Z,"0002cc0100000ecc","36545eb879f93d170a15868b5a000000000000000000ed7865ce7d2876986d71",2,3.82,,10,21.52,54.44,,0.00,,0,0,0,0,,,,0.17,0.41,0.64,0.09,-0.17
2024-11-13T00:48:29Z,"0002cc0100000ecc","36545eb9ddf93d170a157b8abe000000000000000000ffffffffffffffffffff",2,3.82,,10,21.48,54.20,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T00:54:25Z,"0002cc0100000ecc","36545ebb41f93d170a15718ad3000000000000000000ffffffffffffffffffffffff",2,3.82,,10,21.44,54.23,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T01:00:21Z,"0002cc0100000ecc","36545ebca5f93d170a156c8a9a000000000000000000ffffffffffffffffffff",2,3.82,,10,21.42,54.14,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T01:06:17Z,"0002cc0100000ecc","36545ebe09f93d170a155e8ada000000000000000000ffffffffffffffffffffffff",2,3.82,,10,21.37,54.24,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T01:12:13Z,"0002cc0100000ecc","36545ebf6df93d170a15628bcc000000000000000000ffffffffffffffffffff",2,3.82,,10,21.38,54.61,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T01:18:09Z,"0002cc0100000ecc","36545ec0d1f93d170a156c8bfd00000000000000000076c8fee8ffffffffffffffff",2,3.82,,10,21.42,54.68,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-0.86,0.42
2024-11-13T01:24:05Z,"0002cc0100000ecc","36545ec235f93d170a15718c6f392ed0000000000000ffffffffff08eee35e11",2,3.82,,10,21.44,54.86,,0.02,,0,0,0,0,,,,0.05,-0.22,-0.88,-1.00,-1.00
2024-11-13T01:30:01Z,"0002cc0100000ecc","36545ec399f20205000015778c3200000000000000000074726d2874eb7c30ef02",2,,2.5.0.0,,21.46,54.76,,0.00,,0,0,0,0,,,,-0.22,0.52,0.31,0.16,0.28
2024-11-13T01:35:57Z,"0002cc0100000ecc","36545ec4fdf93d170a157b8d32000000000000000000ec9ededc753774c47c9e",2,3.82,,10,21.48,55.16,,0.00,,0,0,0,0,,,,0.58,0.30,0.33,-0.05,-0.14
2024-11-13T01:41:53Z,"0002cc0100000ecc","36545ec661f93d170a158a8da000000000000000000077f97679f5f76e6bf5feef4d",2,3.82,,10,21.54,55.32,,0.00,,0,0,0,0,,,-0.23,-0.37,0.20,-0.37,0.40,0.50
2024-11-13T01:47:49Z,"0002cc0100000ecc","36545ec7c5f93d170a15828e0c0000000000000000007e2367bf6f2affffffff",2,3.82,,10,21.51,55.49,,0.00,,0,0,0,0,,,,-1.00,-1.00,0.22,0.12,0.77
2024-11-13T01:53:46Z,"0002cc0100000ecc","36545ec92af93d170a15828eba392ed0000000000000fffffffffeafffff6c7d6f82",2,3.82,,10,21.51,55.75,,0.02,,0,0,0,0,,,0.23,0.14,-1.00,-0.84,-1.00,-1.00
2024-11-13T01:59:42Z,"0002cc0100000ecc","36545eca8ef93d230a157f8e79000000000000000000e4737c6cfe37ffffffff",2,3.82,,10,21.49,55.65,,0.00,,0,0,0,0,,,,-1.00,-1.00,-0.78,0.55,-0.07
2024-11-13T02:05:38Z,"0002cc0100000ecc","36545ecbf2f93d170a158a8e6f000000000000000000fd8577e6e585fdd4ffffffff",2,3.82,,10,21.54,55.64,,0.00,,0,0,0,0,,,-1.00,-1.00,-0.73,-0.09,0.49,-0.69
2024-11-13T02:11:34Z,"0002cc0100000ecc","36545ecd56f93d170a158a8ecd41c0da000000000000ffffffffff8f7d326db2",2,3.82,,10,21.54,55.78,,7.01,,0,0,0,0,,,,0.18,0.65,-0.94,-1.00,-1.00
2024-11-13T02:17:30Z,"0002cc0100000ecc","36545ecebaf93d170a15918e69437d340000000000006ee86c0affecff9effe9",2,3.82,,10,21.56,55.63,,23.83,,0,0,0,0,,,,-0.99,-0.95,-0.99,0.13,0.22
2024-11-13T02:23:26Z,"0002cc0100000ecc","36545ed01ef93d170a15918e2843a508000000000000fffffedeff9dffb2ffff",2,3.82,,10,21.56,55.53,,26.31,,0,0,0,0,,,,-1.00,-0.96,-0.95,-0.86,-1.00
2024-11-13T02:29:22Z,"0002cc0100000ecc","36545ed182f93d170a159c8ec443babb000000000000f5b2fcc3ec90ec73ff4b",2,3.82,,10,21.61,55.77,,27.67,,0,0,0,0,,,,-0.91,-0.14,-0.14,-0.60,-0.36
2024-11-13T02:35:18Z,"0002cc0100000ecc","36545ed2e6f93d0f0a15a28f2f43c72e000000000000ffffffffffffffffffffffff",2,3.82,,10,21.63,55.93,,28.45,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T02:41:14Z,"0002cc0100000ecc","36545ed44af93d0f0a15aa8f0243cb22000000000000fffffffffffffffffff0",2,3.82,,10,21.66,55.86,,28.70,,0,0,0,0,,,,-0.99,-1.00,-1.00,-1.00,-1.00
2024-11-13T02:47:10Z,"0002cc0100000ecc","36545ed5aef93d0f0a15b18eb743d7b0000000000000ffffffffffffffc3fcb5",2,3.82,,10,21.69,55.75,,29.48,,0,0,0,0,,,,-0.59,-0.97,-1.00,-1.00,-1.00
2024-11-13T02:53:06Z,"0002cc0100000ecc","36545ed712f93d0f0a15c18d9d43ed8d000000000000fffffffffffffdc9ef97ffff",2,3.82,,10,21.75,55.32,,30.85,,0,0,0,0,,,-1.00,-0.24,-0.72,-1.00,-1.00,-1.00
2024-11-13T02:59:02Z,"0002cc0100000ecc","36545ed876f93d170a15bc8cce43eea7000000000000ffffffffffacffd2ffff",2,3.82,,10,21.73,55.00,,30.92,,0,0,0,0,,,,-1.00,-0.98,-0.96,-1.00,-1.00
2024-11-13T03:04:58Z,"0002cc0100000ecc","36545ed9daf93d0f0a15cb8cb443f575000000000000ffffffffffffffffffffffff",2,3.82,,10,21.79,54.96,,31.34,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T03:10:54Z,"0002cc0100000ecc","36545edb3ef93d0f0a15cf8cfc43f3b5000000000000ffffffffffffffffffff",2,3.82,,10,21.81,55.07,,31.23,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T03:16:50Z,"0002cc0100000ecc","36545edca2f93d170a15d28c7743f68f000000000000ffffffffffffffffffff",2,3.82,,10,21.82,54.87,,31.41,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T03:22:46Z,"0002cc0100000ecc","36545ede06f93d0f0a15e18bbe43f47b000000000000ffffffffffffffffffff",2,3.82,,10,21.88,54.59,,31.28,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T03:28:42Z,"0002cc0100000ecc","36545edf6af93d170a15e18b8743f7a8000000000000ffffffffffffffffffff",2,3.82,,10,21.88,54.50,,31.48,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T03:34:38Z,"0002cc0100000ecc","36545ee0cef93d0f0a15ef8beb43f8b2000000000000ffffffffffffffffffff",2,3.82,,10,21.93,54.66,,31.54,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-13T03:40:34Z,"0002cc0100000ecc","36545ee232f93d0f0a15fa8bb843fa1f000000000000ffffffffffffffffffff",2,3.82,,10,21.97,54.58,,31.63,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
