Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-11-15T00:00:14Z,"0002cc0100000ec0","365461518ef93e4a0815419566000000000000000000fc65f624f7c5fccbffff",2,3.89,,8,21.25,58.36,,0.00,,0,0,0,0,,,,-1.00,-0.60,-0.49,-0.38,-0.55
2024-11-15T00:06:10Z,"0002cc0100000ec0","36546152f2f93e4a0815459605000000000000000000ffffffffff6cfd78ff3a",2,3.89,,8,21.27,58.60,,0.00,,0,0,0,0,,,,-0.90,-0.68,-0.93,-1.00,-1.00
2024-11-15T00:12:06Z,"0002cc0100000ec0","3654615456f93e3e081541966a000000000000000000fffffffffde5fffffffffcc4",2,3.89,,8,21.25,58.76,,0.00,,0,0,0,0,,,-0.60,-1.00,-1.00,-0.74,-1.00,-1.00
2024-11-15T00:18:02Z,"0002cc0100000ec0","36546155baf93e4a08154c95150000000000000000007ca4fed6ff37ffffffff",2,3.89,,8,21.30,58.24,,0.00,,0,0,0,0,,,,-1.00,-1.00,-0.90,-0.85,0.58
2024-11-15T00:23:58Z,"0002cc0100000ec0","365461571ed93e4a08154c9524000000000000fffffd2dfcf2ffa2f76b",2,3.89,,8,21.30,58.26,,,,0,0,0,0,,,,-0.46,-0.95,-0.62,-0.65,-1.00
2024-11-15T00:29:54Z,"0002cc0100000ec0","3654615882f93e3e0815419520000000000000000000ff55ff7bffffffa9fc48",2,3.89,,8,21.25,58.25,,0.00,,0,0,0,0,,,,-0.54,-0.96,-1.00,-0.94,-0.92
2024-11-15T00:35:50Z,"0002cc0100000ec0","36546159e6f93e4a08153e950f000000000000000000ffffffffffffffffff61",2,3.89,,8,21.24,58.23,,0.00,,0,0,0,0,,,,-0.92,-1.00,-1.00,-1.00,-1.00
2024-11-15T00:41:46Z,"0002cc0100000ec0","3654615b4af93e4a08153e9565000000000000000000f72afdbb76757c076d97",2,3.89,,8,21.24,58.36,,0.00,,0,0,0,0,,,,0.17,0.50,0.40,-0.72,-0.45
2024-11-15T00:47:42Z,"0002cc0100000ec0","3654615caef93e4608153b94d6000000000000000000ef29ffffffffffffffffff65",2,3.89,,8,21.23,58.14,,0.00,,0,0,0,0,,,-0.92,-1.00,-1.00,-1.00,-1.00,-0.22
2024-11-15T00:53:38Z,"0002cc0100000ec0","3654615e12f93e4a081536949c000000000000000000ffffffffffffffffffff",2,3.89,,8,21.21,58.05,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T00:59:34Z,"0002cc0100000ec0","3654615f76f93e4e08152793e2000000000000000000ffffffffffffffffffff",2,3.89,,8,21.15,57.77,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T01:05:30Z,"0002cc0100000ec0","36546160daf93e360815249304000000000000000000ffffffffffffffffffffffff",2,3.89,,8,21.14,57.43,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T01:11:26Z,"0002cc0100000ec0","365461623ef93e4a08151d92e7000000000000000000ffffffffffffff35ffff",2,3.89,,8,21.11,57.38,,0.00,,0,0,0,0,,,,-1.00,-0.90,-1.00,-1.00,-1.00
2024-11-15T01:17:22Z,"0002cc0100000ec0","36546163a2f93e4a08151d9301000000000000000000fffffffffffff61efe1c",2,3.89,,8,21.11,57.42,,0.00,,0,0,0,0,,,,-0.76,-0.38,-1.00,-1.00,-1.00
2024-11-15T01:23:18Z,"0002cc0100000ec0","3654616506f93e3608152792ec000000000000000000ff1af47dfd46fffffcc7fdff",2,3.89,,8,21.15,57.39,,0.00,,0,0,0,0,,,-0.75,-0.60,-1.00,-0.66,-0.28,-0.89
2024-11-15T01:29:14Z,"0002cc0100000ec0","365461666af93e420815249313000000000000000000575ffd22ffe8feffffff",2,3.89,,8,21.14,57.45,,0.00,,0,0,0,0,,,,-1.00,-0.87,-0.99,-0.64,0.03
2024-11-15T01:35:10Z,"0002cc0100000ec0","36546167cef93e4a08151d92f0000000000000000000fffffffffffffffffe70",2,3.89,,8,21.11,57.40,,0.00,,0,0,0,0,,,,-0.80,-1.00,-1.00,-1.00,-1.00
2024-11-15T01:41:06Z,"0002cc0100000ec0","3654616932f93e3e0815249391000000000000000000ffffffffffffffffffffff47",2,3.89,,8,21.14,57.64,,0.00,,0,0,0,0,,,-0.91,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T01:47:02Z,"0002cc0100000ec0","3654616a96f93e4a081527944f000000000000000000ffffe7a6fffffea6ffff",2,3.89,,8,21.15,57.93,,0.00,,0,0,0,0,,,,-1.00,-0.83,-1.00,-0.12,-1.00
2024-11-15T01:52:58Z,"0002cc0100000ec0","3654616bfad93e4208152c9829000000000000ffb7fffffffff5b3fc47",2,3.89,,8,21.17,59.44,,,,0,0,0,0,,,,-0.53,-0.36,-1.00,-1.00,-0.96
2024-11-15T01:58:54Z,"0002cc0100000ec0","3654616d5ef93e4208153e9965000000000000000000fc93e41fffa9ff2ced67",2,3.89,,8,21.24,59.92,,0.00,,0,0,0,0,,,,-0.17,-0.90,-0.96,-0.06,-0.57
2024-11-15T02:04:50Z,"0002cc0100000ec0","3654616ec2f93e4608153e9a67000000000000000000763cfffffffffe23fede",2,3.89,,8,21.24,60.31,,0.00,,0,0,0,0,,,,-0.86,-0.77,-1.00,-1.00,0.39
2024-11-15T02:10:46Z,"0002cc0100000ec0","3654617026f93e4208154c9c4440c09c000000000000fffffffffffffdf0ff7e",2,3.89,,8,21.30,61.04,,3.50,,0,0,0,0,,,,-0.94,-0.74,-1.00,-1.00,-1.00
2024-11-15T02:16:42Z,"0002cc0100000ec0","365461718af20205000015579d61420b89000000000000feecfedcfdfafffffe5f",2,,2.5.0.0,,21.34,61.48,,8.36,,0,0,0,0,,,,-0.80,-1.00,-0.75,-0.86,-0.87
2024-11-15T02:22:38Z,"0002cc0100000ec0","36546172eef93e4a08155b9eb0420c97000000000000effdfecfffbdffffffff",2,3.89,,8,21.35,61.99,,8.39,,0,0,0,0,,,,-1.00,-1.00,-0.97,-0.85,-0.25
2024-11-15T02:28:34Z,"0002cc0100000ec0","3654617452f93e4a0815669e11420fd9000000000000ffffffffffffffffffff",2,3.89,,8,21.40,61.75,,8.50,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T02:34:30Z,"0002cc0100000ec0","36546175b6f93e360815719db7421061000000000000ffffffffffffffffffffffff",2,3.89,,8,21.44,61.61,,8.51,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T02:40:26Z,"0002cc0100000ec0","365461771af93e3208157b9de8420ef4000000000000ffffffffffffffffffffffff",2,3.89,,8,21.48,61.68,,8.47,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T02:46:22Z,"0002cc0100000ec0","365461787ef93e360815869c25420d86000000000000ffffffffffffffffffff",2,3.89,,8,21.52,60.99,,8.42,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T02:52:18Z,"0002cc0100000ec0","36546179e2f93e420815899a57420d86000000000000ffffffffffffffffffa3",2,3.89,,8,21.53,60.29,,8.42,,0,0,0,0,,,,-0.95,-1.00,-1.00,-1.00,-1.00
2024-11-15T02:58:14Z,"0002cc0100000ec0","3654617b46f93e32081589943a420f9a000000000000ffffffffffffffffffff",2,3.89,,8,21.53,57.90,,8.49,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T03:04:10Z,"0002cc0100000ec0","3654617caaf93e420815899175420e2d000000000000ffffffffffffffffffff",2,3.89,,8,21.53,56.82,,8.44,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T03:10:06Z,"0002cc0100000ec0","3654617e0ef93e420815899061420b34000000000000ffffffffffffffffffff",2,3.89,,8,21.53,56.40,,8.35,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T03:16:02Z,"0002cc0100000ec0","3654617f72f93e420815869031420a6d000000000000ffffffffffffffffffff",2,3.89,,8,21.52,56.33,,8.33,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T03:21:58Z,"0002cc0100000ec0","36546180d6f93e320815899079420b14000000000000ffffffffffffffffffffffff",2,3.89,,8,21.53,56.44,,8.35,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T03:27:54Z,"0002cc0100000ec0","365461823af93e3208158690c7420900000000000000ffffffffffffffffffffffff",2,3.89,,8,21.52,56.55,,8.28,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T03:33:50Z,"0002cc0100000ec0","365461839ef93e32081589910d420dcf000000000000ffffffdeffc1ffffffff",2,3.89,,8,21.53,56.66,,8.43,,0,0,0,0,,,,-1.00,-1.00,-0.97,-0.98,-1.00
2024-11-15T03:39:46Z,"0002cc0100000ec0","3654618502f93e3a08158d9187420a4e000000000000ffffffffffffffffffffffff",2,3.89,,8,21.55,56.85,,8.32,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T03:45:41Z,"0002cc0100000ec0","3654618665f93e4e0815919197420bbb000000000000ffffffffffffffffffff",2,3.89,,8,21.56,56.87,,8.37,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T03:51:38Z,"0002cc0100000ec0","36546187caf93e4208159891ca420bbb000000000000ffffffffffffffffffffffff",2,3.89,,8,21.59,56.95,,8.37,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T03:57:33Z,"0002cc0100000ec0","365461892df93e420815989202420bbb000000000000ffffffffffffffffffff",2,3.89,,8,21.59,57.04,,8.37,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T04:03:29Z,"0002cc0100000ec0","3654618a91f93e460815989248420a4e000000000000ffffffffffffffffffff",2,3.89,,8,21.59,57.14,,8.32,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T04:09:25Z,"0002cc0100000ec0","3654618bf5f93e3a08159892984209a7000000000000ffffffffffffffffffffffff",2,3.89,,8,21.59,57.26,,8.30,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T04:15:21Z,"0002cc0100000ec0","3654618d59f93e3a08159c92a84209c6000000000000ffffffffffffffffffff",2,3.89,,8,21.61,57.29,,8.31,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T04:21:17Z,"0002cc0100000ec0","3654618ebdf93e3a0815a692c5420a4e000000000000ffffffffffffffffffff",2,3.89,,8,21.65,57.33,,8.32,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T04:27:13Z,"0002cc0100000ec0","3654619021f93e420815a69323420b9b000000000000fffffffffffffff6ffff",2,3.89,,8,21.65,57.48,,8.36,,0,0,0,0,,,,-1.00,-0.99,-1.00,-1.00,-1.00
2024-11-15T04:33:09Z,"0002cc0100000ec0","3654619185f93e3a0815aa938c420b14000000000000ffffffffffffffffffff",2,3.89,,8,21.66,57.64,,8.35,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T04:39:05Z,"0002cc0100000ec0","36546192e9f93e420815ad9395420b14000000000000fdaffd9effa7fda8fed0",2,3.89,,8,21.68,57.65,,8.35,,0,0,0,0,,,,-0.85,-0.71,-0.96,-0.70,-0.71
2024-11-15T04:45:01Z,"0002cc0100000ec0","365461944df93e320815ad934f420b14000000000000ffffffffffffffffffffffff",2,3.89,,8,21.68,57.54,,8.35,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T04:50:57Z,"0002cc0100000ec0","36546195b1f93e3a0815b49341420b14000000000000ffffffffffffffffffff",2,3.89,,8,21.70,57.52,,8.35,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-15T04:56:53Z,"0002cc0100000ec0","3654619715f93e320815b49370420b14000000000000f6b4f714ffffffffffff",2,3.89,,8,21.70,57.59,,8.35,,0,0,0,0,,,,-1.00,-1.00,-1.00,-0.44,-0.42
2024-11-15T05:02:49Z,"0002cc0100000ec0","3654619879f93e420815bc9385420af5000000000000ffffffb2fcfbe4f9ffff",2,3.89,,8,21.73,57.63,,8.34,,0,0,0,0,,,,-1.00,-0.08,-0.62,-0.96,-1.00
2024-11-15T05:08:45Z,"0002cc0100000ec0","36546199ddf93e3a0815c793b04205e7000000000000ffffff7dffc0fd15741e",2,3.89,,8,21.78,57.69,,8.18,,0,0,0,0,,,,0.26,-0.64,-0.97,-0.94,-1.00
2024-11-15T05:14:41Z,"0002cc0100000ec0","3654619b41f93e3a0815c7936142047a000000000000f6a5fd8adc3ffff0fc24",2,3.89,,8,21.78,57.57,,8.14,,0,0,0,0,,,,-0.52,-0.99,-0.03,-0.69,-0.42
2024-11-15T05:20:37Z,"0002cc0100000ec0","3654619ca5f93e3a0815ce9334420c23000000000000fffffffffffffffffffff64d",2,3.89,,8,21.80,57.50,,8.38,,0,0,0,0,,,-0.39,-1.00,-1.00,-1.00,-1.00,-1.00
