Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-11-14T00:04:27Z,"0002cc0100000ec0","365460010bf93e7b081586663e000000000000000000ffffffffffffffffffff",2,3.90,,8,21.52,39.94,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-14T00:10:23Z,"0002cc0100000ec0","365460026ff93e770815896649000000000000000000ffebffffffffffa1e720f685",2,3.90,,8,21.53,39.96,,0.00,,0,0,0,0,,,-0.41,-0.11,-0.95,-1.00,-1.00,-0.99
2024-11-14T00:16:19Z,"0002cc0100000ec0","36546003d3f93e770815986656000000000000000000ec7e6d71fd13ee27ffff",2,3.90,,8,21.59,39.98,,0.00,,0,0,0,0,,,,-1.00,-0.19,-0.63,0.17,-0.14
2024-11-14T00:22:15Z,"0002cc0100000ec0","3654600537f93e770815a66572000000000000000000f6cbe535f5cdffe2fcda",2,3.90,,8,21.65,39.63,,0.00,,0,0,0,0,,,,-0.61,-0.99,-0.36,-0.08,-0.42
2024-11-14T00:28:11Z,"0002cc0100000ec0","365460069bf93e770815a66560000000000000000000f787effbfc56fc34f6c9",2,3.90,,8,21.65,39.60,,0.00,,0,0,0,0,,,,-0.42,-0.53,-0.54,-0.25,-0.47
2024-11-14T00:34:07Z,"0002cc0100000ec0","36546007fff93e7b0815aa6587000000000000000000ffa9f6d4ff88fd13fd18",2,3.90,,8,21.66,39.66,,0.00,,0,0,0,0,,,,-0.64,-0.63,-0.94,-0.43,-0.96
2024-11-14T00:40:03Z,"0002cc0100000ec0","3654600963f93e6f0815a665cf000000000000000000fffffffffef6dd8af71e",2,3.90,,8,21.65,39.77,,0.00,,0,0,0,0,,,,-0.44,-0.04,-0.87,-1.00,-1.00
2024-11-14T00:45:59Z,"0002cc0100000ec0","3654600ac7f93e6f0815a665e3000000000000000000f4e4e50efdd2fe55ff3467e8",2,3.90,,8,21.65,39.80,,0.00,,0,0,0,0,,,0.12,-0.90,-0.79,-0.73,-0.08,-0.31
2024-11-14T00:51:55Z,"0002cc0100000ec0","3654600c2bf93e6f08159f65e00000000000000000007551ffb0ffb0ffffffff",2,3.90,,8,21.62,39.80,,0.00,,0,0,0,0,,,,-1.00,-1.00,-0.96,-0.96,0.33
2024-11-14T00:57:51Z,"0002cc0100000ec0","3654600d8ff93e6f08159c6566000000000000000000fff2fd73f7497541f688",2,3.90,,8,21.61,39.61,,0.00,,0,0,0,0,,,,-0.41,0.33,-0.46,-0.68,-0.99
