Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-11-12T00:01:04Z,"0002cc0100000ec0","36545d5d40f93ec108159c8cdd000000000000000000fffffd63fe12ffffed925f11",2,3.92,,8,21.61,55.03,,0.00,,0,0,0,0,,,0.06,-0.17,-1.00,-0.76,-0.67,-1.00
2024-11-12T00:07:00Z,"0002cc0100000ec0","36545d5ea4f93ec90815a68ce100000000000000000066127c9df6fbf7fcffff",2,3.92,,8,21.65,55.03,,0.00,,0,0,0,0,,,,-1.00,-0.50,-0.44,0.58,0.09
2024-11-12T00:12:56Z,"0002cc0100000ec0","36545d6008f93eda0815ad8c66000000000000000000ff1cfe3bfdfbf6577572fc3b",2,3.93,,8,21.68,54.84,,0.00,,0,0,0,0,,,-0.53,0.34,-0.40,-0.75,-0.78,-0.89
2024-11-12T00:18:53Z,"0002cc0100000ec0","36545d616dd93ec10815b18c02000000000000fe60f7a0fc24fdf1fd0d",2,3.92,,8,21.69,54.69,,,,0,0,0,0,,,,-0.63,-0.74,-0.52,-0.48,-0.80
2024-11-12T00:24:48Z,"0002cc0100000ec0","36545d62d0f93ed50815ad8c66000000000000000000ffeeffffffffffb8ffff",2,3.93,,8,21.68,54.84,,0.00,,0,0,0,0,,,,-1.00,-0.96,-1.00,-1.00,-0.99
2024-11-12T00:30:45Z,"0002cc0100000ec0","36545d6435f93ed50815a68c93000000000000000000ffffffffffffffa7ffffffff",2,3.93,,8,21.65,54.91,,0.00,,0,0,0,0,,,-1.00,-1.00,-0.96,-1.00,-1.00,-1.00
2024-11-12T00:36:40Z,"0002cc0100000ec0","36545d6598f93eda0815aa8cc5000000000000000000ffffffffffffffffffff",2,3.93,,8,21.66,54.99,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T00:42:36Z,"0002cc0100000ec0","36545d66fcf93ed50815ad8d25000000000000000000fffffff8ffffffc4ffffffff",2,3.93,,8,21.68,55.14,,0.00,,0,0,0,0,,,-1.00,-1.00,-0.97,-1.00,-1.00,-1.00
2024-11-12T00:48:32Z,"0002cc0100000ec0","36545d6860f93ed50815b18cf6000000000000000000ffb0f4e9ec42fd42ffff",2,3.93,,8,21.69,55.06,,0.00,,0,0,0,0,,,,-1.00,-0.66,-0.13,-0.31,-0.96
2024-11-12T00:54:28Z,"0002cc0100000ec0","36545d69c4f93eda0815aa8cdb000000000000000000ffffffb8feb8ffffffff",2,3.93,,8,21.66,55.02,,0.00,,0,0,0,0,,,,-1.00,-1.00,-0.84,-0.97,-1.00
2024-11-12T01:00:25Z,"0002cc0100000ec0","36545d6b29f93ede0815aa8d02000000000000000000f568ffffff0bfea4ffffffff",2,3.93,,8,21.66,55.08,,0.00,,0,0,0,0,,,-1.00,-1.00,-0.83,-0.88,-1.00,-0.34
2024-11-12T01:06:20Z,"0002cc0100000ec0","36545d6c8cf93ecd0815ad8d4a000000000000000000ffffffffffffffffffbd",2,3.92,,8,21.68,55.19,,0.00,,0,0,0,0,,,,-0.97,-1.00,-1.00,-1.00,-1.00
2024-11-12T01:12:16Z,"0002cc0100000ec0","36545d6df0f93ecd0815b18d530000000000000000004c3dfffffe72ff8effff",2,3.92,,8,21.69,55.21,,0.00,,0,0,0,0,,,,-1.00,-0.94,-0.81,-1.00,0.01
2024-11-12T01:18:12Z,"0002cc0100000ec0","36545d6f54f20205000015a68d8f000000000000000000fc3affffffffffffffff",2,,2.5.0.0,,21.65,55.30,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-0.53
2024-11-12T01:24:09Z,"0002cc0100000ec0","36545d70b9f93ed50815aa8db9000000000000000000fe13ffededfb5561ffe3fc39",2,3.93,,8,21.66,55.36,,0.00,,0,0,0,0,,,-0.53,-0.99,0.02,-0.19,-0.99,-0.76
2024-11-12T01:30:05Z,"0002cc0100000ec0","36545d721df93ede0815aa8de8000000000000000000ef6bfd2afffffffffe2a",2,3.93,,8,21.66,55.43,,0.00,,0,0,0,0,,,,-0.77,-1.00,-1.00,-0.65,-0.23
2024-11-12T01:36:01Z,"0002cc0100000ec0","36545d7381f93ecd0815b18e19000000000000000000f716fcaff740dde877b1",2,3.92,,8,21.69,55.51,,0.00,,0,0,0,0,,,,0.48,-0.05,-0.45,-0.59,-0.44
2024-11-12T01:41:57Z,"0002cc0100000ec0","36545d74e5f93ec10815b98e1c000000000000000000ffffeedadeb9fffe6c7476e2",2,3.92,,8,21.72,55.51,,0.00,,0,0,0,0,,,0.43,0.14,-1.00,-0.05,-0.21,-1.00
2024-11-12T01:47:53Z,"0002cc0100000ec0","36545d7649f93ed50815bc8e16000000000000000000772cfc4ffd55fd9bfd4f",2,3.93,,8,21.73,55.50,,0.00,,0,0,0,0,,,,-0.66,-0.70,-0.67,-0.54,0.45
2024-11-12T01:53:49Z,"0002cc0100000ec0","36545d77adf93ec10815c48e03000000000000000000fd01fe52ef12f54bfe12",2,3.92,,8,21.76,55.47,,0.00,,0,0,0,0,,,,-0.76,-0.33,-0.22,-0.79,-0.63
2024-11-12T01:59:45Z,"0002cc0100000ec0","36545d7911f93ecd0815ce8da00000000000000000006783740175d5747c7710f4b6",2,3.92,,8,21.80,55.32,,0.00,,0,0,0,0,,,-0.29,0.44,0.28,0.36,0.25,0.12
2024-11-12T02:05:41Z,"0002cc0100000ec0","36545d7a75f93ecd0815c78d37000000000000000000e7f4746ffc41f61effff",2,3.92,,8,21.78,55.16,,0.00,,0,0,0,0,,,,-1.00,-0.38,-0.53,0.28,-0.12
2024-11-12T02:11:37Z,"0002cc0100000ec0","36545d7bd9f93ecd0815c48d4c427396000000000000fffffffffffffd12f40c",2,3.92,,8,21.76,55.19,,11.61,,0,0,0,0,,,,-0.25,-0.63,-1.00,-1.00,-1.00
2024-11-12T02:17:33Z,"0002cc0100000ec0","36545d7d3df93ecd0815c48d3d42e740000000000000ffc0fdaeffffffffffffffff",2,3.92,,8,21.76,55.17,,15.23,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-0.71,-0.97
2024-11-12T02:23:29Z,"0002cc0100000ec0","36545d7ea1f93ec10815c78d5542e9bc000000000000ffffffffffffffffffff",2,3.92,,8,21.78,55.21,,15.30,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T02:29:25Z,"0002cc0100000ec0","36545d8005f93ecd0815d28cec42ea24000000000000ffffffffffffffffffffffff",2,3.92,,8,21.82,55.05,,15.32,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T02:35:21Z,"0002cc0100000ec0","36545d8169f93ecd0815d98c9f42eaab000000000000ffffffffffffffffffff",2,3.92,,8,21.85,54.93,,15.33,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T02:41:17Z,"0002cc0100000ec0","36545d82cdf93ecd0815dd8c6942ea8c000000000000ffffffffffffffffffff",2,3.92,,8,21.86,54.85,,15.33,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T02:47:13Z,"0002cc0100000ec0","36545d8431f93ecd0815dd8c0342e9c6000000000000ffffffffffffffffffff",2,3.92,,8,21.86,54.69,,15.31,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T02:53:08Z,"0002cc0100000ec0","36545d8594f93ecd0815e18be542ec80000000000000ffffffffffffffffffff",2,3.92,,8,21.88,54.65,,15.39,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T02:59:05Z,"0002cc0100000ec0","36545d86f9f93eda0815e18bc642eded000000000000ffffffffffffffffffffffff",2,3.93,,8,21.88,54.60,,15.44,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T03:05:00Z,"0002cc0100000ec0","36545d885cf93ecd0815e18b6f42f0a8000000000000ffffffffffffffffffff",2,3.92,,8,21.88,54.47,,15.52,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T03:10:56Z,"0002cc0100000ec0","36545d89c0f93eda0815e18b5742e773000000000000ffffffffffffffffffff",2,3.93,,8,21.88,54.43,,15.23,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T03:16:52Z,"0002cc0100000ec0","36545d8b24f93ed50815d98b6442e753000000000000ffffffffffffffffffff",2,3.93,,8,21.85,54.45,,15.23,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T03:22:48Z,"0002cc0100000ec0","36545d8c88f93ecd0815e18b6042edaf000000000000ffffffffffffffffffff",2,3.92,,8,21.88,54.44,,15.43,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T03:28:44Z,"0002cc0100000ec0","36545d8decf93ec10815e18b3742e7fa000000000000ffffffffffffffffffff",2,3.92,,8,21.88,54.38,,15.25,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T03:34:40Z,"0002cc0100000ec0","36545d8f50f93ec10815e18b3742e6ad000000000000ffffffffffffffffffffffff",2,3.92,,8,21.88,54.38,,15.21,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T03:40:36Z,"0002cc0100000ec0","36545d90b4f93ecd0815e48b5842e881000000000000ffffffffffffffffffff",2,3.92,,8,21.89,54.43,,15.27,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-12T03:46:32Z,"0002cc0100000ec0","36545d9218f93ecd0815eb8b5242e8e0000000000000fffffff6ff93dc0f6766",2,3.92,,8,21.92,54.42,,15.28,,0,0,0,0,,,,0.12,-0.03,-0.95,-0.99,-1.00
2024-11-12T03:52:28Z,"0002cc0100000ec0","36545d937cf93ecd0815eb8af442e30c000000000000ffffff38fffffffffffffed3",2,3.92,,8,21.92,54.28,,15.10,,0,0,0,0,,,-0.85,-1.00,-1.00,-1.00,-0.90,-1.00
2024-11-12T03:58:24Z,"0002cc0100000ec0","36545d94e0f93eda0815ef8ad042e265000000000000ef9ff535fe2affffffff",2,3.93,,8,21.93,54.22,,15.07,,0,0,0,0,,,,-1.00,-1.00,-0.77,-0.33,-0.24
2024-11-12T04:04:20Z,"0002cc0100000ec0","36545d9644f93ecd0815ef8ae642e500000000000000f787f5e4ff74ffffffff",2,3.92,,8,21.93,54.26,,15.16,,0,0,0,0,,,,-1.00,-1.00,-0.93,-0.37,-0.47
2024-11-12T04:10:16Z,"0002cc0100000ec0","36545d97a8f93ecd0815f98b1242e520000000000000fffffffffff6ffffffffffff",2,3.92,,8,21.97,54.33,,15.16,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
