Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-11-16T00:01:57Z,"0002cc0100000ec0","365462a375f93e090815828f99000000000000000000ffffffffffffffffffff",2,3.88,,8,21.51,56.09,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:07:53Z,"0002cc0100000ec0","365462a4d9f93e1508157b8f5f000000000000000000ffffffffffffffffffffffff",2,3.88,,8,21.48,56.01,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:13:49Z,"0002cc0100000ec0","365462a63df93e150815778f8c000000000000000000ffffffffffffffffffff",2,3.88,,8,21.46,56.07,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:19:45Z,"0002cc0100000ec0","365462a7a1f93e1508157f8f12000000000000000000ffffffffffffffffffff",2,3.88,,8,21.49,55.89,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T00:25:41Z,"0002cc0100000ec0","365462a905f93e150815898f8c000000000000000000e5ddedc5fc25feeff557",2,3.88,,8,21.53,56.07,,0.00,,0,0,0,0,,,,-0.33,-0.87,-0.52,-0.18,-0.09
2024-11-16T00:31:37Z,"0002cc0100000ec0","365462aa69f93e090815898ea6000000000000000000fc1afc73fe61fe3cfffffddb",2,3.88,,8,21.53,55.72,,0.00,,0,0,0,0,,,-0.73,-1.00,-0.78,-0.80,-0.56,-0.51
2024-11-16T00:37:33Z,"0002cc0100000ec0","365462abcdf93e090815898e40000000000000000000ff62fffffffffffffdba",2,3.88,,8,21.53,55.57,,0.00,,0,0,0,0,,,,-0.72,-1.00,-1.00,-1.00,-0.92
2024-11-16T00:43:29Z,"0002cc0100000ec0","365462ad31f93e090815918e840000000000000000005e2cf74bfd70dc73f780",2,3.88,,8,21.56,55.67,,0.00,,0,0,0,0,,,,-0.47,-0.03,-0.68,-0.46,0.05
2024-11-16T00:49:25Z,"0002cc0100000ec0","365462ae95f93e150815948f81000000000000000000ef00f50cffecfd46fdebfcf9",2,3.88,,8,21.58,56.06,,0.00,,0,0,0,0,,,-0.62,-0.74,-0.66,-0.99,-0.32,-0.22
2024-11-16T00:55:21Z,"0002cc0100000ec0","365462aff9f93e090815918e73000000000000000000ffffff8cff08ff6bffff",2,3.88,,8,21.56,55.65,,0.00,,0,0,0,0,,,,-1.00,-0.93,-0.88,-0.94,-1.00
2024-11-16T01:01:17Z,"0002cc0100000ec0","365462b15df93e1508158d8e22000000000000000000ffffffff6610fd41fe68",2,3.88,,8,21.55,55.52,,0.00,,0,0,0,0,,,,-0.80,-0.66,0.09,-1.00,-1.00
2024-11-16T01:07:13Z,"0002cc0100000ec0","365462b2c1f93e090815948f39000000000000000000fed5fd98dc45ff5c5c0b",2,3.88,,8,21.58,55.95,,0.00,,0,0,0,0,,,,0.03,-0.92,-0.03,-0.70,-0.85
2024-11-16T01:13:09Z,"0002cc0100000ec0","365462b425f93e150815918f3f000000000000000000fffffd5e66b4fd8ffe91",2,3.88,,8,21.56,55.96,,0.00,,0,0,0,0,,,,-0.82,-0.69,0.10,-0.67,-1.00
2024-11-16T01:19:05Z,"0002cc0100000ec0","365462b589f93e1508159f8fd4000000000000000000fff2fffffe14ffffffffffff",2,3.88,,8,21.62,56.18,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-0.76,-1.00,-0.99
2024-11-16T01:25:01Z,"0002cc0100000ec0","365462b6edf93e150815988e460000000000000000006f41ffffff20f73fffff",2,3.88,,8,21.59,55.58,,0.00,,0,0,0,0,,,,-1.00,-0.45,-0.89,-1.00,0.23
2024-11-16T01:30:57Z,"0002cc0100000ec0","365462b851f93e090815918d8e000000000000000000ffffffffff0cffffffff",2,3.88,,8,21.56,55.30,,0.00,,0,0,0,0,,,,-1.00,-1.00,-0.88,-1.00,-1.00
2024-11-16T01:36:53Z,"0002cc0100000ec0","365462b9b5f93e0908158d8d76000000000000000000fdd8ffffffffffd6ffcf",2,3.88,,8,21.55,55.26,,0.00,,0,0,0,0,,,,-0.98,-0.98,-1.00,-1.00,-0.73
2024-11-16T01:42:49Z,"0002cc0100000ec0","365462bb19f93e150815988e00000000000000000000f77c6c71f4d76e90f504",2,3.88,,8,21.59,55.47,,0.00,,0,0,0,0,,,,-0.31,0.21,-0.30,0.14,-0.47
2024-11-16T01:48:45Z,"0002cc0100000ec0","365462bc7df93e150815988e00000000000000000000f4df75055c586faaf404",2,3.88,,8,21.59,55.47,,0.00,,0,0,0,0,,,,-0.25,0.24,0.03,0.31,-0.30
2024-11-16T01:54:41Z,"0002cc0100000ec0","365462bde1f93e090815988df1000000000000000000f605feeaf580fc22fe7a",2,3.88,,8,21.59,55.45,,0.00,,0,0,0,0,,,,-0.81,-0.52,-0.34,-0.86,-0.38
2024-11-16T02:00:37Z,"0002cc0100000ec0","365462bf45f93e150815918dcd000000000000000000ffffff19ffffffffffff",2,3.88,,8,21.56,55.39,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-0.89,-1.00
2024-11-16T02:06:33Z,"0002cc0100000ec0","365462c0a9f93e150815898e12000000000000000000feb7ffffffffffffffff",2,3.88,,8,21.53,55.50,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-0.84
2024-11-16T02:12:30Z,"0002cc0100000ec0","365462c20ef93e150815898dbb410313000000000000ffffffffffffffffffffffff",2,3.88,,8,21.53,55.36,,4.05,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T02:18:25Z,"0002cc0100000ec0","365462c371f93e0908158d8dad4251b0000000000000ffffffffffffffffffff",2,3.88,,8,21.55,55.34,,10.55,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-16T02:24:21Z,"0002cc0100000ec0","365462c4d5f93e1508158d8d8c426c16000000000000ffffffffffffffffffff",2,3.88,,8,21.55,55.29,,11.38,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
