Dataset,Time,Raw Score,Percent Score,Temperature,Light,Battery Voltage
Ex_01,2024-11-09 23:45:00,-0.32499999999999996,33.75,21.69,0.0,3.95
Ex_01,2024-11-10 00:00:00,-0.4757142857142857,26.214285714285715,21.747142857142858,0.0,3.9500000000000015
Ex_01,2024-11-10 00:15:00,-0.7775,11.125,21.757500000000004,0.0,3.950000000000001
Ex_01,2024-11-10 00:30:00,-0.7857142857142857,10.714285714285715,21.75357142857143,0.0,3.9500000000000006
Ex_01,2024-11-10 00:45:00,-0.4664285714285713,26.678571428571434,21.736428571428576,0.0,3.9500000000000015
Ex_01,2024-11-10 01:00:00,-0.7557142857142857,12.214285714285715,21.694285714285716,0.0,3.9500000000000015
Ex_01,2024-11-10 01:15:00,-0.17153846153846153,41.42307692307692,21.730769230769226,0.0,3.950000000000001
Ex_01,2024-11-10 01:30:00,-0.01499999999999999,49.25,21.764999999999993,0.0,3.9500000000000015
Ex_01,2024-11-10 01:45:00,-0.1791666666666667,41.041666666666664,21.775000000000002,0.0,3.950000000000001
Ex_01,2024-11-10 02:00:00,-0.47857142857142854,26.071428571428573,21.779285714285717,5.017857142857143,3.9500000000000015
Ex_01,2024-11-10 02:15:00,-1.0,0.0,21.792142857142856,14.42857142857143,3.9500000000000015
Ex_01,2024-11-10 02:30:00,-1.0,0.0,21.83076923076923,14.528461538461544,3.950000000000001
Ex_01,2024-11-10 02:45:00,-1.0,0.0,21.90642857142857,14.535000000000002,3.9500000000000015
Ex_01,2024-11-10 03:00:00,-1.0,0.0,21.887692307692305,14.551538461538465,3.946153846153846
Ex_01,2024-11-10 03:15:00,-1.0,0.0,21.88076923076923,14.474615384615387,3.950000000000001
Ex_01,2024-11-10 03:30:00,-1.0,0.0,21.913846153846155,14.389999999999997,3.9453846153846146
Ex_01,2024-11-10 03:45:00,-1.0,0.0,21.959999999999997,14.333333333333337,3.9500000000000015
Ex_01,2024-11-10 04:00:00,-0.995,0.25,21.98,14.391666666666671,3.949166666666667
Ex_01,2024-11-10 04:15:00,-0.8364285714285714,8.17857142857143,21.99642857142857,14.544999999999998,3.94357142857143
Ex_01,2024-11-10 04:30:00,-1.0,0.0,22.03923076923077,14.49692307692308,3.95
Ex_01,2024-11-10 04:45:00,-1.0,0.0,22.017692307692307,14.504615384615382,3.950000000000001
Ex_01,2024-11-10 05:00:00,-1.0,0.0,22.00384615384615,14.401538461538463,3.950000000000001
Ex_01,2024-11-10 05:15:00,-1.0,0.0,22.002666666666666,14.515333333333334,3.9466666666666663
Ex_01,2024-11-10 05:30:00,-1.0,0.0,22.009999999999998,14.397142857142855,3.9435714285714285
Ex_01,2024-11-10 05:45:00,-1.0,0.0,22.00615384615385,14.414615384615386,3.947692307692309
Ex_01,2024-11-10 06:00:00,-0.9978571428571429,0.1071428571428541,22.002142857142854,14.424999999999997,3.9500000000000015
Ex_01,2024-11-10 06:15:00,-0.99,0.5,22.009999999999998,14.460000000000004,3.9500000000000015
Ex_01,2024-11-10 06:30:00,-1.0,0.0,22.013846153846153,14.442307692307695,3.9461538461538472
Ex_01,2024-11-10 06:45:00,-1.0,0.0,22.005714285714287,14.486428571428567,3.9500000000000015
Ex_01,2024-11-10 07:00:00,-1.0,0.0,21.993846153846157,14.495384615384612,3.950000000000001
Ex_01,2024-11-10 07:15:00,-1.0,0.0,21.997692307692304,14.215384615384616,3.950000000000001
Ex_01,2024-11-10 07:30:00,-1.0,0.0,22.002142857142854,14.437857142857142,3.9500000000000015
Ex_01,2024-11-10 07:45:00,-0.7899999999999999,10.500000000000007,22.031538461538464,14.536923076923078,3.950000000000001
Ex_01,2024-11-10 08:00:00,-0.8485714285714285,7.5714285714285765,22.075,14.643571428571425,3.9500000000000015
Ex_01,2024-11-10 08:15:00,-0.8214285714285714,8.92857142857143,22.040714285714284,14.62857142857143,3.9464285714285707
Ex_01,2024-11-10 08:30:00,-0.7007142857142856,14.964285714285722,22.03571428571429,14.662857142857138,3.944
Ex_01,2024-11-10 08:45:00,-0.2907692307692308,35.46153846153846,22.063076923076924,14.45692307692308,3.950000000000001
Ex_01,2024-11-10 09:00:00,-0.8007142857142855,9.964285714285722,22.062857142857144,14.394285714285711,3.9500000000000015
Ex_01,2024-11-10 09:15:00,-0.9646153846153845,1.7692307692307736,22.048461538461538,14.571538461538463,3.948461538461539
Ex_01,2024-11-10 09:30:00,-1.0,0.0,22.05642857142857,14.549285714285714,3.943571428571428
Ex_01,2024-11-10 09:45:00,-1.0,0.0,22.04076923076923,14.56,3.9453846153846155
Ex_01,2024-11-10 10:00:00,-1.0,0.0,22.053571428571427,14.560714285714287,3.9421428571428563
Ex_01,2024-11-10 10:15:00,-1.0,0.0,22.017692307692307,14.549230769230771,3.9438461538461533
Ex_01,2024-11-10 10:30:00,-1.0,0.0,22.03642857142857,14.542857142857143,3.939999999999999
Ex_01,2024-11-10 10:45:00,-0.9984615384615385,0.0769230769230731,22.04769230769231,14.548461538461538,3.942307692307693
Ex_01,2024-11-10 11:00:00,-1.0,0.0,22.061428571428568,14.549285714285714,3.949285714285715
Ex_01,2024-11-10 11:15:00,-1.0,0.0,22.056923076923077,14.560769230769232,3.9399999999999995
Ex_01,2024-11-10 11:30:00,-1.0,0.0,22.04615384615385,14.543846153846154,3.9399999999999995
Ex_01,2024-11-10 11:45:00,-1.0,0.0,22.059285714285714,14.469285714285714,3.9435714285714276
Ex_01,2024-11-10 12:00:00,-1.0,0.0,22.089230769230767,14.50692307692308,3.9399999999999995
